[2026-03-22 23:17:37,306][__main__][INFO] - ============================================================
[2026-03-22 23:17:37,306][__main__][INFO] - Starting experiment: optimizer = muon
[2026-03-22 23:17:37,306][__main__][INFO] - ============================================================
[2026-03-22 23:17:37,306][__main__][INFO] - Using torch dtype: bfloat16
[2026-03-22 23:17:37,306][model][INFO] - Loading tokenizer and model: Qwen/Qwen2.5-0.5B
[2026-03-22 23:17:40,298][model][INFO] - Apply LoRA with params: {'r': 16, 'lora_alpha': 32, 'lora_dropout': 0.05, 'target_modules': ['q_proj', 'k_proj', 'v_proj', 'o_proj', 'gate_proj', 'up_proj', 'down_proj'], 'bias': 'none', 'task_type': 'CAUSAL_LM'}
[2026-03-22 23:17:40,579][__main__][INFO] - Model+LoRA loaded. Initial memory: 988.00 MiB
[2026-03-22 23:17:40,579][dataset][INFO] - Loading train dataset: Elriggs/openwebtext-100k
[2026-03-22 23:17:42,749][dataset][INFO] - Loaded 1000 / 100000 samples
[2026-03-22 23:17:42,749][__main__][INFO] - Tokenizing dataset...
[2026-03-22 23:17:56,154][__main__][INFO] - Tokenized: 1000 samples
[2026-03-22 23:17:56,154][optimizers.optimizer][INFO] - Create Muon optimizer
[2026-03-22 23:17:59,655][__main__][INFO] - Memory stats reset. Starting training...
[2026-03-22 23:17:59,655][optimizers.optimizer][INFO] - Creating SFTTrainer (TRL) with optimizer: muon
[2026-03-22 23:17:59,702][__main__][INFO] - Starting training...
[2026-03-22 23:19:04,811][utilities.loggers][INFO] - Step 37: loss=2.9807, lr=5e-05, mem=3862.0MB, t=87.51s
[2026-03-22 23:19:06,530][utilities.loggers][INFO] - Step 38: loss=3.0287, lr=5e-05, mem=3862.0MB, t=89.22s
[2026-03-22 23:19:08,296][utilities.loggers][INFO] - Step 39: loss=3.0604, lr=5e-05, mem=3862.0MB, t=90.99s
[2026-03-22 23:19:10,109][utilities.loggers][INFO] - Step 40: loss=3.0385, lr=5e-05, mem=3862.0MB, t=92.8s
[2026-03-22 23:19:11,906][utilities.loggers][INFO] - Step 41: loss=3.0798, lr=5e-05, mem=3862.0MB, t=94.6s
[2026-03-22 23:19:13,671][utilities.loggers][INFO] - Step 42: loss=2.9584, lr=5e-05, mem=3862.0MB, t=96.37s
[2026-03-22 23:19:15,387][utilities.loggers][INFO] - Step 43: loss=3.0083, lr=5e-05, mem=3862.0MB, t=98.08s
[2026-03-22 23:19:17,106][utilities.loggers][INFO] - Step 44: loss=2.9515, lr=5e-05, mem=3862.0MB, t=99.8s
[2026-03-22 23:19:18,935][utilities.loggers][INFO] - Step 45: loss=2.8869, lr=5e-05, mem=3862.0MB, t=101.63s
[2026-03-22 23:19:20,653][utilities.loggers][INFO] - Step 46: loss=3.0211, lr=5e-05, mem=3862.0MB, t=103.35s
[2026-03-22 23:19:22,450][utilities.loggers][INFO] - Step 47: loss=3.0109, lr=5e-05, mem=3862.0MB, t=105.14s
[2026-03-22 23:19:24,169][utilities.loggers][INFO] - Step 48: loss=3.0687, lr=5e-05, mem=3862.0MB, t=106.86s
[2026-03-22 23:19:25,904][utilities.loggers][INFO] - Step 49: loss=2.9288, lr=5e-05, mem=3862.0MB, t=108.6s
[2026-03-22 23:19:27,638][utilities.loggers][INFO] - Step 50: loss=3.0635, lr=5e-05, mem=3862.0MB, t=110.33s
[2026-03-22 23:19:29,347][utilities.loggers][INFO] - Step 51: loss=2.8892, lr=5e-05, mem=3862.0MB, t=112.04s
[2026-03-22 23:19:31,284][utilities.loggers][INFO] - Step 52: loss=3.0617, lr=4.9e-05, mem=3862.0MB, t=113.98s
[2026-03-22 23:19:32,961][utilities.loggers][INFO] - Step 53: loss=2.9861, lr=4.9e-05, mem=3862.0MB, t=115.66s
[2026-03-22 23:19:34,695][utilities.loggers][INFO] - Step 54: loss=2.9865, lr=4.9e-05, mem=3862.0MB, t=117.39s
[2026-03-22 23:19:36,412][utilities.loggers][INFO] - Step 55: loss=2.9348, lr=4.9e-05, mem=3862.0MB, t=119.11s
[2026-03-22 23:19:38,116][utilities.loggers][INFO] - Step 56: loss=2.7973, lr=4.9e-05, mem=3862.0MB, t=120.81s
[2026-03-22 23:19:39,850][utilities.loggers][INFO] - Step 57: loss=2.9015, lr=4.9e-05, mem=3862.0MB, t=122.54s
[2026-03-22 23:19:41,622][utilities.loggers][INFO] - Step 58: loss=2.9711, lr=4.9e-05, mem=3862.0MB, t=124.32s
[2026-03-22 23:19:43,466][utilities.loggers][INFO] - Step 59: loss=2.7764, lr=4.9e-05, mem=3862.0MB, t=126.16s
