[2026-03-22 23:28:07,593][__main__][INFO] - ============================================================
[2026-03-22 23:28:07,593][__main__][INFO] - Starting experiment: optimizer = hybrid
[2026-03-22 23:28:07,593][__main__][INFO] - ============================================================
[2026-03-22 23:28:07,593][__main__][INFO] - Using torch dtype: bfloat16
[2026-03-22 23:28:07,593][model][INFO] - Loading tokenizer and model: Qwen/Qwen2.5-0.5B
[2026-03-22 23:28:10,560][model][INFO] - Apply LoRA with params: {'r': 16, 'lora_alpha': 32, 'lora_dropout': 0.05, 'target_modules': ['q_proj', 'k_proj', 'v_proj', 'o_proj', 'gate_proj', 'up_proj', 'down_proj'], 'bias': 'none', 'task_type': 'CAUSAL_LM'}
[2026-03-22 23:28:10,841][__main__][INFO] - Model+LoRA loaded. Initial memory: 988.00 MiB
[2026-03-22 23:28:10,841][dataset][INFO] - Loading train dataset: Elriggs/openwebtext-100k
[2026-03-22 23:28:12,860][dataset][INFO] - Loaded 1000 / 100000 samples
[2026-03-22 23:28:12,860][__main__][INFO] - Tokenizing dataset...
[2026-03-22 23:28:26,068][__main__][INFO] - Tokenized: 1000 samples
[2026-03-22 23:28:26,068][optimizers.optimizer][INFO] - Create Hybrid optimizer
[2026-03-22 23:28:30,083][optimizers.optimizer][INFO] - Hybrid split: 252 Muon params, 253 AdamW params
[2026-03-22 23:28:30,115][__main__][INFO] - Memory stats reset. Starting training...
[2026-03-22 23:28:30,115][optimizers.optimizer][INFO] - Creating SFTTrainer (TRL) with optimizer: hybrid
[2026-03-22 23:28:30,162][__main__][INFO] - Starting training...
[2026-03-22 23:29:27,368][utilities.loggers][INFO] - Step 36: loss=2.7687, lr=5e-05, mem=3878.0MB, t=79.77s
[2026-03-22 23:29:29,017][utilities.loggers][INFO] - Step 37: loss=2.9778, lr=5e-05, mem=3878.0MB, t=81.42s
[2026-03-22 23:29:30,580][utilities.loggers][INFO] - Step 38: loss=3.0234, lr=5e-05, mem=3878.0MB, t=82.99s
[2026-03-22 23:29:32,158][utilities.loggers][INFO] - Step 39: loss=3.0546, lr=5e-05, mem=3878.0MB, t=84.57s
[2026-03-22 23:29:33,672][utilities.loggers][INFO] - Step 40: loss=3.0333, lr=5e-05, mem=3878.0MB, t=86.08s
[2026-03-22 23:29:35,219][utilities.loggers][INFO] - Step 41: loss=3.0776, lr=5e-05, mem=3878.0MB, t=87.63s
[2026-03-22 23:29:36,797][utilities.loggers][INFO] - Step 42: loss=2.9524, lr=5e-05, mem=3878.0MB, t=89.2s
[2026-03-22 23:29:38,407][utilities.loggers][INFO] - Step 43: loss=3.0046, lr=5e-05, mem=3878.0MB, t=90.81s
[2026-03-22 23:29:40,016][utilities.loggers][INFO] - Step 44: loss=2.9482, lr=5e-05, mem=3878.0MB, t=92.42s
[2026-03-22 23:29:41,697][utilities.loggers][INFO] - Step 45: loss=2.8829, lr=5e-05, mem=3878.0MB, t=94.1s
[2026-03-22 23:29:43,353][utilities.loggers][INFO] - Step 46: loss=3.0144, lr=5e-05, mem=3878.0MB, t=95.76s
[2026-03-22 23:29:44,891][utilities.loggers][INFO] - Step 47: loss=3.0087, lr=5e-05, mem=3878.0MB, t=97.3s
[2026-03-22 23:29:46,501][utilities.loggers][INFO] - Step 48: loss=3.0649, lr=5e-05, mem=3878.0MB, t=98.91s
[2026-03-22 23:29:48,095][utilities.loggers][INFO] - Step 49: loss=2.9259, lr=5e-05, mem=3878.0MB, t=100.5s
[2026-03-22 23:29:49,642][utilities.loggers][INFO] - Step 50: loss=3.0618, lr=5e-05, mem=3878.0MB, t=102.05s
[2026-03-22 23:29:51,282][utilities.loggers][INFO] - Step 51: loss=2.8855, lr=5e-05, mem=3878.0MB, t=103.69s
[2026-03-22 23:29:53,001][utilities.loggers][INFO] - Step 52: loss=3.0555, lr=4.9e-05, mem=3878.0MB, t=105.41s
[2026-03-22 23:29:54,578][utilities.loggers][INFO] - Step 53: loss=2.9856, lr=4.9e-05, mem=3878.0MB, t=106.98s
[2026-03-22 23:29:56,218][utilities.loggers][INFO] - Step 54: loss=2.9837, lr=4.9e-05, mem=3878.0MB, t=108.63s
[2026-03-22 23:29:57,812][utilities.loggers][INFO] - Step 55: loss=2.9308, lr=4.9e-05, mem=3878.0MB, t=110.2s
[2026-03-22 23:29:59,426][utilities.loggers][INFO] - Step 56: loss=2.7945, lr=4.9e-05, mem=3878.0MB, t=111.83s
[2026-03-22 23:30:01,035][utilities.loggers][INFO] - Step 57: loss=2.8993, lr=4.9e-05, mem=3878.0MB, t=113.44s
[2026-03-22 23:30:02,598][utilities.loggers][INFO] - Step 58: loss=2.9686, lr=4.9e-05, mem=3878.0MB, t=115.0s
[2026-03-22 23:30:04,301][utilities.loggers][INFO] - Step 59: loss=2.7736, lr=4.9e-05, mem=3878.0MB, t=116.71s
[2026-03-22 23:30:05,857][utilities.loggers][INFO] - Step 60: loss=3.0027, lr=4.9e-05, mem=3878.0MB, t=118.26s
[2026-03-22 23:30:07,451][utilities.loggers][INFO] - Step 61: loss=2.9654, lr=4.9e-05, mem=3878.0MB, t=119.86s
[2026-03-22 23:30:08,982][utilities.loggers][INFO] - Step 62: loss=3.0253, lr=4.9e-05, mem=3878.0MB, t=121.39s
[2026-03-22 23:30:09,841][utilities.loggers][INFO] - Step 63: loss=2.9972, lr=4.9e-05, mem=3878.0MB, t=122.25s
[2026-03-22 23:30:12,212][utilities.loggers][INFO] - Step 64: loss=2.9506, lr=4.9e-05, mem=3878.0MB, t=124.62s
[2026-03-22 23:30:13,775][utilities.loggers][INFO] - Step 65: loss=3.0912, lr=4.8e-05, mem=3878.0MB, t=126.18s
[2026-03-22 23:30:15,353][utilities.loggers][INFO] - Step 66: loss=2.9952, lr=4.8e-05, mem=3878.0MB, t=127.76s
[2026-03-22 23:30:17,025][utilities.loggers][INFO] - Step 67: loss=2.7788, lr=4.8e-05, mem=3878.0MB, t=129.43s
[2026-03-22 23:30:18,603][utilities.loggers][INFO] - Step 68: loss=3.1271, lr=4.8e-05, mem=3878.0MB, t=131.01s
[2026-03-22 23:30:20,150][utilities.loggers][INFO] - Step 69: loss=2.8668, lr=4.8e-05, mem=3878.0MB, t=132.56s
[2026-03-22 23:30:21,681][utilities.loggers][INFO] - Step 70: loss=2.9378, lr=4.8e-05, mem=3878.0MB, t=134.09s
[2026-03-22 23:30:23,244][utilities.loggers][INFO] - Step 71: loss=2.9621, lr=4.8e-05, mem=3878.0MB, t=135.65s
[2026-03-22 23:30:24,776][utilities.loggers][INFO] - Step 72: loss=2.8335, lr=4.8e-05, mem=3878.0MB, t=137.18s
[2026-03-22 23:30:26,307][utilities.loggers][INFO] - Step 73: loss=2.8545, lr=4.8e-05, mem=3878.0MB, t=138.71s
[2026-03-22 23:30:27,807][utilities.loggers][INFO] - Step 74: loss=2.8435, lr=4.7e-05, mem=3878.0MB, t=140.21s
[2026-03-22 23:30:29,479][utilities.loggers][INFO] - Step 75: loss=2.8746, lr=4.7e-05, mem=3878.0MB, t=141.89s
[2026-03-22 23:30:31,104][utilities.loggers][INFO] - Step 76: loss=2.9197, lr=4.7e-05, mem=3878.0MB, t=143.51s
[2026-03-22 23:30:32,635][utilities.loggers][INFO] - Step 77: loss=2.8675, lr=4.7e-05, mem=3878.0MB, t=145.04s
[2026-03-22 23:30:34,198][utilities.loggers][INFO] - Step 78: loss=2.9415, lr=4.7e-05, mem=3878.0MB, t=146.61s
[2026-03-22 23:30:35,792][utilities.loggers][INFO] - Step 79: loss=3.0851, lr=4.7e-05, mem=3878.0MB, t=148.2s
[2026-03-22 23:30:37,354][utilities.loggers][INFO] - Step 80: loss=2.7445, lr=4.7e-05, mem=3878.0MB, t=149.76s
[2026-03-22 23:30:38,917][utilities.loggers][INFO] - Step 81: loss=3.0373, lr=4.7e-05, mem=3878.0MB, t=151.32s
[2026-03-22 23:30:40,527][utilities.loggers][INFO] - Step 82: loss=2.9247, lr=4.6e-05, mem=3878.0MB, t=152.93s
[2026-03-22 23:30:42,121][utilities.loggers][INFO] - Step 83: loss=2.9364, lr=4.6e-05, mem=3878.0MB, t=154.53s
